abstract,author,content,datetime,original,title,url,website
绿城中国终于还是走到了这一天。今日(7月11日)下午，宋卫平正式辞任董事会联席主席，放话“人生而自由，大家开心就好”。至此，除绿城规划设计委员会名誉主席外，宋卫平实质上不再担任绿城的任何职务。“该服从的一定会服从”5年前中交入主，成为宋卫平逐渐淡出绿城的开端。,(责任编辑：DF512),"今日(7月11日)下午，
至此，除绿城规划设计

5年前中交入主，成为宋卫平逐渐淡出绿城的开端。
2014年12月23日，中交几乎以“白武士”的身份杀入绿城，以约60.13亿

3个月后的2015年3月25日，绿城发布
这是中交入主后宋卫平的职务首次出现调整。
彼时，绿城董事会共6个席位，分别是宋卫平、朱碧新、孙国强和寿柏年4位执行董事，以及九龙仓周
与此同时，子
2015年5月18日，中交收购绿城1亿股
2016年1月15日，朱碧新辞任绿城联席主席，由同样来自中交系的刘文生接任，并与宋卫平共同担任绿城董事会联席主席。与此同时，绿城执行董事扩容，新增李永前。
至此，绿城董事会中，中交系与绿城系人员的平衡格局被打破，
而在当初的签约仪式上，曾有媒体问及接下来绿城的主导权，但中交和宋卫平均没有给出明确回复，双方亦不停谦让着给对方找话题。
彼时刘起涛的表态是，希望同其他拥有股权的合作伙伴一道共同打造绿城，“合作后，我们就是一家人，不存在谁操盘这样的问题，所谓兵合一处，将打一家嘛”。
宋卫平的表态则是：“提建议给
宋卫平用上了“服从”的字眼，但熟悉他的人都知道，这是一位对自己的作品近乎偏执的理想主义者。


尽管双方一次又一次否认，但2018年以来，清仓、减持、辞任，都是绿城加速“去宋卫平化”的缩影。
2018年1月28日，绿城“二号人物”寿柏年17亿元“清仓”绿城股票，宋氏
不论绿城承认与否，中交在绿城已经掌握了话语权。
而2018年8月2日下午的那场媒体发布会，或是中交主导绿城的标志性事件。久未露面的宋卫平担当主持人，亲证张亚东已接任曹舟南的行政
会上，宋卫平表示，在中交领导的身上没有
其后，
直至今年4月26日起，宋卫平一个月内连续11次减持，令他在绿城的持股比例从10.74%降至10.35%，更接近此前内部约定的10%。而2016~2018年，宋卫平的减持比例还不到0.02%。
减持只是宋卫平淡出绿城的一种具象化表现。两个月后的今天，
根据绿城今日(7月11日)公告，宋卫平、刘文生双双辞去董事会联席主席职务，张亚东任董事会主席。调整后，绿城非
张亚东依然表示，根本不存在“去宋卫平化”的问题，宋董是绿城
目前的绿城官网，董事会高管名单还未来得及更换，不过宋卫平、刘文生、张亚东、李青岸、李永前、李骏的名字，可能是最后一次这样一起出现了。
至此，中交希望“并表绿城”的愿景已经实现，但要实现“
5年前中交入主之际，宋卫平说“所有优秀的
5年后辞任联席主席之际，宋卫平说“人生而自由，大家开心就好，蓝城绿城大家想去哪里都可以”。
理想主义
（文章来源：每日经济新闻）
(责任编辑：DF512)",2019年07月12日 06:46,每日经济新闻,教父退场 绿城再无宋卫平！临别前潇洒留言：“大家开心就好”,http://finance.eastmoney.com/a/201907121176461285.html,东方财富网
上证报近日获悉，天津市金融工作局副局长安志勇拟任渤海证券董事长，其任职资格正待监管审核。天津市委组织部上月曾公示，安志勇拟任市管金融企业党委书记、董事长。此前，渤海证券董事长为王春峰。安志勇的履新意味着渤海证券高层大更替，从董事长、总裁到两位副总裁均为新人上任。近日，上证报从渤海证券相关人士处获悉，上级已宣布安志勇出任渤海证券董事长，待监管批准其证券公司高管任职资格后正式履新。,(责任编辑：DF155),"上证报近日获悉，天津市金融工作局副局长安志勇拟任渤海证券董事长，其任职资格正待监管审核。天津市委组织部上月曾公示，安志勇拟任市管金融企业党委书记、董事长。此前，渤海证券董事长为王春峰。安志勇的履新意味着渤海证券高层大更替，从董事长、总裁到两位副总裁均为新人上任。
近日，上证报从渤海证券相关人士处获悉，上级已宣布安志勇出任渤海证券董事长，待监管批准其证券公司高管任职资格后正式履新。据悉，在今年6月14日至20日，天津市委组织部曾公示安志勇的简历材料，拟由其出任市管金融企业党委书记、董事长。
公示材料显示，安志勇1971年1月生，天津市人，1992年7月参加工作，全日制研究生学历，经济学博士，现任天津市地方金融监督管理局(天津市金融工作局)副局长、市地方金融监督管理局党组成员。
此前，渤海证券董事长为王春峰。在渤海证券官网上，董事长信息栏目前尚未更新。
此次安志勇履新渤海证券董事长，意味着该券商高层的大更替，从董事长到总裁，再到两位分管业务的副总裁，均为新人就任。
去年，渤海证券实行市场化试点，拟公开招聘一位总裁及三位副总裁，三位副总裁分别分管投行、经纪以及直投业务。
今年以来，渤海证券招聘的人员陆续到岗，只不过原定招聘的一正三副暂时是一正两副。来自天津证监局的王修祥任总裁，来自
中证协公布的数据显示，渤海证券2018年底总资产规模483亿元，行业排第30位；2018年营收16亿元，行业排第45位；净利润5.74亿元，行业排第24位。目前，渤海证券A股上市辅导正在进行中。
据了解，近期还有一位金融监管官员出任券商董事长，原天津证监局副局长张海文就任华融证券董事长。有业内人士认为，监管官员到市场机构任职是一个好现象，这有利于将监管理念向市场传达。
（文章来源：上海证券报）
(责任编辑：DF155)",2019年07月12日 07:04,上海证券报,天津金融局副局长安志勇拟任渤海证券董事长,http://finance.eastmoney.com/a/201907121176464591.html,东方财富网
正邦科技(002157)7月11日晚间披露业绩预告，预计今年上半年亏损2.5亿元-2.8亿元，上年同期亏损1.91亿元。公司本期亏损的主要原因是，2019年第一季度生猪销售价格较低，成本有所上升。另外，公司拟出资10亿元对子公司正邦养殖增资，以促进其主业发展。,(责任编辑：DF512),(责任编辑：DF512),2019年07月11日 23:10,证券时报网,正邦科技：上半年预亏2.5亿元-2.8亿元,http://finance.eastmoney.com/a/201907111176287792.html,东方财富网
据中国船舶重工集团有限公司纪检监察组与上海市纪委监委消息：中国船舶工业物资华东有限公司党委书记、董事长周凤祥涉嫌严重违纪违法，目前正接受纪律审查和监察调查。,(责任编辑：DF512),"据
(责任编辑：DF512)",2019年07月11日 22:30,证券时报网,中国船舶工业物资华东有限公司原董事长周凤祥接受调查,http://finance.eastmoney.com/a/201907111176256715.html,东方财富网
7月8日，“万向创业五十周年会议”上，万向集团董事长、CEO鲁伟鼎在讲话中，发布成立一个新的慈善信托——鲁冠球万向事业基金，捐出万向集团公司截止2018年度审计报告的资产。,(责任编辑：DF512),"7月8日，“万向
鲁伟鼎说：我代表万向
今年5月21日，胡润发布《中国富豪排行榜》，万向集团的鲁伟鼎成为中国首善。捐赠额高达49.6亿元。2017年，万向集团的创始人鲁冠球去世。为了纪念自己的父亲，2018年6月，鲁伟鼎建立了鲁冠球三农扶志基金
(责任编辑：DF512)",2019年07月11日 22:31,澎湃新闻,鲁伟鼎：将万向集团截止2018年度审计报告的资产全部捐赠,http://finance.eastmoney.com/a/201907111176257422.html,东方财富网
华中数控(300161)7月11日晚间公告，7月10日至11日，卓尔智能制造(武汉)有限公司及其实际控制人阎志增持公司2.43%股份；目前，阎志、卓尔智能制造(武汉)有限公司合计持有公司20%股权。本次权益变动后，阎志、卓尔智能制造(武汉)有限公司成为公司的第一大股东。,(责任编辑：DF512),(责任编辑：DF512),2019年07月11日 22:32,证券时报,华中数控：获卓尔系第四度举牌 成为公司大股东,http://finance.eastmoney.com/a/201907111176257897.html,东方财富网
7月11日，中原证券晚间公告称，近期，公司在对联盟17号、中京1号等两项资管产品进行后续管理的过程中，发现存在融资人不能按期偿还本息的风险，公司取得融资人提供虚假文件的证据并据此向公安机关报案，公安机关已于2019年5月4日立案侦查，目前侦查工作正在依法推进。,(责任编辑：DF395),"7月11日，
据公告，联盟17号成立规模5,984万元，于2017年12月8日正式成立，2019年4月24日到期；中京1号成立规模18,165万元，于2018年2月5日正式成立，2019年5月7日到期。
公告称，上述


(责任编辑：DF395)",2019年07月11日 22:14,第一财经,中原证券两资管产品存在融资人不能按期偿还本息风险 已被立案侦查,http://finance.eastmoney.com/a/201907111176251012.html,东方财富网
【保险机构认购热情很高 浦发银行完成300亿元永续债簿记定价】浦发银行10日在银行间债券市场完成300亿元无固定期限资本债券(下称“永续债”)的簿记定价。据悉，当期票面利率4.73%，与5年期国债的利差为172BP。该次发行全场认购倍数超过两倍，其中保险公司热情高涨，最终获配比例达26%。（上海证券报）,(责任编辑：DF512),"记者昨日获悉，


浦发银行相关负责人透露，此次发行的境内

银保监会在1月份时曾发文，允许保险机构投资符合条件的银行
浦发银行表示，此次发行在境外投资者拓展方面也实现了突破。为进一步拓展永续债发行的投资渠道，浦发银行此前在境外举办了非交易性集中路演和一对一路演。最终，本次发行吸引了境外主权机构、券商和资管等多家机构通过“债券通”和CIBM等多个渠道参与。
（文章来源：上海证券报）
(责任编辑：DF512)",2019年07月12日 06:58,上海证券报,保险机构认购热情很高 浦发银行完成300亿元永续债簿记定价,http://finance.eastmoney.com/a/201907121176463021.html,东方财富网
据中国船舶重工集团有限公司纪检监察组与上海市纪委监委消息：中国船舶工业物资华东有限公司党委书记、董事长周凤祥涉嫌严重违纪违法，目前正接受纪律审查和监察调查。,(责任编辑：DF512),"据
(责任编辑：DF512)",2019年07月11日 22:32,证券时报,中国船舶工业物资华东有限公司党委书记、董事长周凤祥接受纪律审查和监察调查,http://finance.eastmoney.com/a/201907111176258171.html,东方财富网
据交易所公告，中微公司披露网上中签结果，中签号码共有30608个，每个中签号码只能认购500股中微公司A股股票。,(责任编辑：DF378),"据交易所
中签号码如下：
(责任编辑：DF378)",2019年07月11日 20:04,中国证券网,中微公司网上中签号出炉 共有30608个,http://finance.eastmoney.com/a/201907111176213777.html,东方财富网
太阳纸业(002078)7月11日晚公告，根据公司的发展规划，为促进公司新旧动能转换升级，进一步提高经营效益，丰富和优化公司产品结构，提升企业在文化纸领域的竞争力，公司拟在公司本部实施年产45万吨特色文化用纸项目。,(责任编辑：DF512),"公司2018年年报显示，公司三大重点建设项目包括本部20万吨高档特种纸项目、老挝30万吨化学浆项目、邹城80万吨高档板纸改建及其配套
本次
45万吨文化用纸项目由太阳纸业负责实施，本项目所需资金主要通过公司自筹来实现。预计项目及其配套工程总投资
太阳纸业表示，公司拟实施的文化用纸项目投产后将主要生产高端特色胶版印刷纸，本项目生产的特色文化纸是一种更加符合生态、环保、人性化理念的纸种，广泛应用于教育、文化出版等行业。产品不使用荧光增白剂和造纸染料，纸张色泽自然，白度适中，80%左右ISO白度，有助于保护读者视力。
本项目的实施将进一步提升公司高端文化用纸的产能，使公司的产品系列更加丰富和多元化；本项目将采用数字化、智能化、集约化等新兴技术，把拟建项目建设成生态节能、低碳环保、科技智能的智慧
在宣布拟逾20亿元投建特色文化用纸项目的同时，太阳纸业还发布公告称，公司董事会现决定终止公开发行A股可转换公司
在此之前，太阳纸业于今年1月11日召开2019年第一次临时
对于终止公开发行A股可转换
(责任编辑：DF512)",2019年07月11日 23:09,证券时报,太阳纸业拟逾20亿元投建特色文化用纸项目 提升公司高端文化用纸产能,http://finance.eastmoney.com/a/201907111176287587.html,东方财富网
【三湘印象：上半年净利同比预增逾9倍】三湘印象(000863)7月11日晚间披露业绩预告，预计今年上半年净利润约3.82亿元，同比增长931.55%。报告期部分项目交房结转收入较上期结转收入大幅增加、核算前期并购标的原股东预计补偿股份公允价值变动及莱茵瑞丰4号私募证券投资基金公允价值变动，相应增加本期利润。（证券时报网）,(责任编辑：DF142),"（文章来源：证券时报网）
(责任编辑：DF142)",2019年07月11日 20:04,证券时报网,三湘印象：上半年净利同比预增逾9倍,http://finance.eastmoney.com/a/201907111176213992.html,东方财富网
